library_id,molecule_h5,hto.tag,chrom.batch.tag,seq.batch.tag,lane.tag
R24-Cancer-B_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/04-18-2021/count/R24_B/R24B_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/01-02-2021/R24_RunB/R24B_Hu_2A_CD8_5D_CITE/R24B_Hu_2A_CD8_5D_CITE_04-06-2021_100umis_thold/general_reports/ClassificationPerCell.csv,B,2;5,Hu;CD8;CD8.B.2A;5D;normal.lung
R24-Cancer-B_Hu_CD8_2B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/04-18-2021/count/R24_B/R24B_Hu_2B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/01-02-2021/R24_RunB/R24B_Hu_2B_CD8_5D_CITE/R24B_Hu_2B_CD8_5D_CITE_04-06-2021_100umis_thold/general_reports/ClassificationPerCell.csv,B,2;5,Hu;CD8;CD8.B.2B;5D;normal.lung
R24-Cancer-B_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/04-18-2021/count/R24_B/R24B_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/01-02-2021/R24_RunB/R24B_Hu_6A_CD8_5D_CITE/R24B_Hu_6A_CD8_5D_CITE_04-06-2021_100umis_thold/general_reports/ClassificationPerCell.csv,B,2;5,Hu;CD8;CD8.B.6A;5D;normal.lung
R24-Cancer-B_Hu_CD8_6B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/04-18-2021/count/R24_B/R24B_Hu_6B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/01-02-2021/R24_RunB/R24B_Hu_6B_CD8_5D_CITE/R24B_Hu_6B_CD8_5D_CITE_04-06-2021_100umis_thold/general_reports/ClassificationPerCell.csv,B,2;5,Hu;CD8;CD8.B.6B;5D;normal.lung
R24-Cancer-D_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/04-17-2021/count/R24_D/R24D_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/04-17-2021/R24_D/R24D_Hu_2A_CD8_5D_CITE/R24D_Hu_2A_CD8_5D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,D,4,Hu;CD8;CD8.D.2A;5D;normal.lung
R24-Cancer-D_Hu_CD8_2B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/04-17-2021/count/R24_D/R24D_Hu_2B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/04-17-2021/R24_D/R24D_Hu_2B_CD8_5D_CITE/R24D_Hu_2B_CD8_5D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,D,4,Hu;CD8;CD8.D.2B;5D;normal.lung
R24-Cancer-D_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/04-17-2021/count/R24_D/R24D_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/04-17-2021/R24_D/R24D_Hu_6A_CD8_5D_CITE/R24D_Hu_6A_CD8_5D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,D,4,Hu;CD8;CD8.D.6A;5D;normal.lung
R24-Cancer-D_Hu_CD8_6B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/04-18-2021/count/R24_D/R24D_Hu_6B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/04-18-2021/R24_D/R24D_Hu_6B_CD8_5D_CITE/R24D_Hu_6B_CD8_5D_CITE_08-30-2021_100umis_thold/general_reports/ClassificationPerCell.csv,D,5,Hu;CD8;CD8.D.6B;5D;normal.lung
R24-Cancer-F_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_F/R24F_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/05-22-2021/R24_F/R24F_Hu_2A_CD8_5D_CITE/R24F_Hu_2A_CD8_5D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,F,6;10,Hu;CD8;CD8.F.2A;5D;normal.lung
R24-Cancer-F_Hu_CD8_2B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_F/R24F_Hu_2B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/05-22-2021/R24_F/R24F_Hu_2B_CD8_5D_CITE/R24F_Hu_2B_CD8_5D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,F,6;10,Hu;CD8;CD8.F.2B;5D;normal.lung
R24-Cancer-F_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_F/R24F_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/05-22-2021/R24_F/R24F_Hu_6A_CD8_5D_CITE/R24F_Hu_6A_CD8_5D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,F,6;10,Hu;CD8;CD8.F.6A;5D;normal.lung
R24-Cancer-F_Hu_CD8_6B_4D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/05-22-2021/count/R24_F/R24F_Hu_6B_CD8_4D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/05-22-2021/R24_F/R24F_Hu_6B_CD8_4D_CITE/R24F_Hu_6B_CD8_4D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,F,6,Hu;CD8;CD8.F.6B;4D;normal.lung
R24-Cancer-H_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_H/R24H_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-10-2021/R24_H/R24H_Hu_2A_CD8_5D_CITE/R24H_Hu_2A_CD8_5D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,H,7;10,Hu;CD8;CD8.H.2A;5D;normal.lung
R24-Cancer-H_Hu_CD8_2B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/06-10-2021/count/R24_H/R24H_Hu_2B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-10-2021/R24_H/R24H_Hu_2B_CD8_5D_CITE/R24H_Hu_2B_CD8_5D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,H,7,Hu;CD8;CD8.H.2B;5D;normal.lung
R24-Cancer-H_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/02-18-2022/count/R24_H/R24H_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-10-2021/R24_H/R24H_Hu_6A_CD8_5D_CITE/R24H_Hu_6A_CD8_5D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,H,7;10;19,Hu;CD8;CD8.H.6A;5D;normal.lung
R24-Cancer-H_Hu_CD8_6B_4D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_H/R24H_Hu_6B_CD8_4D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-10-2021/R24_H/R24H_Hu_6B_CD8_4D_CITE/R24H_Hu_6B_CD8_4D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,H,7;10,Hu;CD8;CD8.H.6B;4D;normal.lung
R24-Cancer-J_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/02-18-2022/count/R24_J/R24J_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-12-2021/R24_J/R24J_Hu_2A_CD8_5D_CITE/R24J_Hu_2A_CD8_5D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,J,9;19,Hu;CD8;CD8.J.2A;5D;normal.lung
R24-Cancer-J_Hu_CD8_2B_4D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_J/R24J_Hu_2B_CD8_4D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-12-2021/R24_J/R24J_Hu_2B_CD8_4D_CITE/R24J_Hu_2B_CD8_4D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,J,9;10,Hu;CD8;CD8.J.2B;4D;normal.lung
R24-Cancer-J_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/02-18-2022/count/R24_J/R24J_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-12-2021/R24_J/R24J_Hu_6A_CD8_5D_CITE/R24J_Hu_6A_CD8_5D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,J,9;10;19,Hu;CD8;CD8.J.6A;5D;normal.lung
R24-Cancer-J_Hu_CD8_6B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/06-12-2021/count/R24_J/R24J_Hu_6B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-12-2021/R24_J/R24J_Hu_6B_CD8_5D_CITE/R24J_Hu_6B_CD8_5D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,J,9,Hu;CD8;CD8.J.6B;5D;normal.lung
R24-Cancer-L_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_L/R24L_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-15-2021/R24_L/R24L_Hu_2A_CD8_5D_CITE/R24L_Hu_2A_CD8_5D_CITE_07-19-2021_100umis_thold/general_reports/ClassificationPerCell.csv,L,10,Hu;CD8;CD8.L.2A;5D;normal.lung
R24-Cancer-L_Hu_CD8_2B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/02-18-2022/count/R24_L/R24L_Hu_2B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-15-2021/R24_L/R24L_Hu_2B_CD8_5D_CITE/R24L_Hu_2B_CD8_5D_CITE_07-19-2021_100umis_thold/general_reports/ClassificationPerCell.csv,L,10;19,Hu;CD8;CD8.L.2B;5D;normal.lung
R24-Cancer-L_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-15-2021/count/R24_L/R24L_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-15-2021/R24_L/R24L_Hu_6A_CD8_5D_CITE/R24L_Hu_6A_CD8_5D_CITE_07-19-2021_100umis_thold/general_reports/ClassificationPerCell.csv,L,11,Hu;CD8;CD8.L.6A;5D;normal.lung
R24-Cancer-L_Hu_CD8_6B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-15-2021/count/R24_L/R24L_Hu_6B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-15-2021/R24_L/R24L_Hu_6B_CD8_5D_CITE/R24L_Hu_6B_CD8_5D_CITE_07-19-2021_100umis_thold/general_reports/ClassificationPerCell.csv,L,11,Hu;CD8;CD8.L.6B;5D;normal.lung
